0x00489440 "Script_TogglePlayerBounds"
0x00489370 "Script_Stuck"
0x00489390 "Script_Logout"
0x004893B0 "Script_Quit"
0x00489450 "Script_ShowNameplates"
0x00489460 "Script_HideNameplates"
0x00489470 "Script_ShowFriendNameplates"
0x00489480 "Script_HideFriendNameplates"
0x00489490 "Script_SetCursor"
0x004895B0 "Script_ClearCursor"
0x004895D0 "Script_CursorHasItem"
0x00489600 "Script_CursorHasSpell"
0x00489630 "Script_CursorHasMoney"
0x00489660 "Script_EquipCursorItem"
0x004897B0 "Script_DeleteCursorItem"
0x004898F0 "Script_EquipPendingItem"
0x00489960 "Script_CancelPendingEquip"
0x004899D0 "Script_TargetUnit"
0x00489A80 "Script_TargetNearestEnemy"
0x00489AA0 "Script_TargetNearestFriend"
0x00489AC0 "Script_TargetNearestPartyMember"
0x00489AE0 "Script_TargetNearestRaidMember"
0x00489B00 "Script_TargetLastTarget"
0x00489B40 "Script_TargetLastEnemy"
0x00489B50 "Script_AttackTarget"
0x00489B80 "Script_AssistUnit"
0x00489C40 "Script_AssistByName"
0x00489D60 "Script_TargetByName"
0x00489E00 "Script_FollowUnit"
0x00489EC0 "Script_FollowByName"
0x00489FF0 "Script_ClearTarget"
0x0048A040 "Script_AutoEquipCursorItem"
0x0048A070 "Script_ToggleSheath"
0x0048A0A0 "Script_GetZoneText"
0x0048A0C0 "Script_GetRealZoneText"
0x0048A0E0 "Script_GetSubZoneText"
0x0048A100 "Script_GetMinimapZoneText"
0x0048A120 "Script_InitiateTrade"
0x0048A1B0 "Script_CanInspect"
0x0048A310 "Script_NotifyInspect"
0x0048A3B0 "Script_InviteToParty"
0x0048A420 "Script_InviteByName"
0x0048A510 "Script_UninviteFromParty"
0x0048A580 "Script_UninviteFromRaid"
0x0048A610 "Script_UninviteByName"
0x0048A7C0 "Script_PromoteToPartyLeader"
0x0048A830 "Script_PromoteByName"
0x0048A900 "Script_RequestTimePlayed"
0x0048A970 "Script_RepopMe"
0x0048A9A0 "Script_AcceptResurrect"
0x0048A9D0 "Script_DeclineResurrect"
0x0048AA00 "Script_ResurrectHasSickness"
0x0048AA30 "Script_ResurrectHasTimer"
0x0048AA60 "Script_BeginTrade"
0x0048AA70 "Script_CancelTrade"
0x0048AA80 "Script_AcceptGroup"
0x0048AAB0 "Script_DeclineGroup"
0x0048AAE0 "Script_AcceptGuild"
0x0048AB10 "Script_DeclineGuild"
0x0048AB40 "Script_CancelLogout"
0x0048AB50 "Script_ForceLogout"
0x0048AB60 "Script_ForceQuit"
0x0048AB70 "Script_GetCursorMoney"
0x0048ABA0 "Script_DropCursorMoney"
0x0048ABC0 "Script_PickupPlayerMoney"
0x0048AC60 "Script_ShowInspectCursor"
0x0048AC70 "Script_ResetCursor"
0x0048AC80 "Script_HasSoulstone"
0x0048AD70 "Script_UseSoulstone"
0x0048AE90 "Script_HasKey"
0x0048AEF0 "Script_GuildInviteByName"
0x0048AFB0 "Script_GuildUninviteByName"
0x0048B050 "Script_GuildPromoteByName"
0x0048B0F0 "Script_GuildDemoteByName"
0x0048B190 "Script_GuildSetLeaderByName"
0x0048B270 "Script_GuildSetMOTD"
0x0048B330 "Script_GuildLeave"
0x0048B3A0 "Script_GuildDisband"
0x0048B410 "Script_GuildInfo"
0x0048B480 "Script_GetScreenWidth"
0x0048B4D0 "Script_GetScreenHeight"
0x0048B520 "Script_GetDamageBonusStat"
0x0048B5A0 "Script_GetReleaseTimeRemaining"
0x0048B5E0 "Script_GetCorpseRecoveryDelay"
0x0048B620 "Script_GetInstanceBootTimeRemaining"
0x0048B660 "Script_GetSummonConfirmTimeLeft"
0x0048B6A0 "Script_GetSummonConfirmSummoner"
0x0048B720 "Script_GetSummonConfirmAreaName"
0x0048B770 "Script_ConfirmSummon"
0x0048B820 "Script_GetCursorPosition"
0x0048B8B0 "Script_GetNetStats"
0x0048B920 "Script_SitOrStand"
0x0048B970 "Script_StopCinematic"
0x0048B980 "Script_RunScript"
0x0048BA00 "Script_CheckInteractDistance"
0x0048BC20 "Script_GetScreenResolutions"
0x0048BF10 "Script_GetCurrentResolution"
0x0048BFD0 "Script_SetScreenResolution"
0x0048C0D0 "Script_GetRefreshRates"
0x0048C270 "Script_SetupFullscreenScale"
0x0048C360 "Script_GetMultisampleFormats"
0x0048C580 "Script_GetCurrentMultisampleFormat"
0x0048C640 "Script_SetMultisampleFormat"
0x0048C7B0 "Script_RandomRoll"
0x0048C8C0 "Script_OpeningCinematic"
0x0048C930 "Script_InCinematic"
0x0048C960 "Script_IsWindowsClient"
0x0048C980 "Script_IsMacClient"
0x0048C990 "Script_IsLinuxClient"
0x0048C9A0 "Script_GetGMTicket"
0x0048C9D0 "Script_NewGMTicket"
0x0048CA60 "Script_UpdateGMTicket"
0x0048CB70 "Script_DeleteGMTicket"
0x0048CC00 "Script_GMSurveyQuestion"
0x0048CD30 "Script_GMSurveyAnswerSubmit"
0x0048CEF0 "Script_GMSurveyCommentSubmit"
0x0048CF80 "Script_GMSurveySubmit"
0x0048CFC0 "Script_GetGMStatus"
0x0048D0C0 "Script_AcceptXPLoss"
0x0048D120 "Script_CheckSpiritHealerDist"
0x0048D170 "Script_CheckTalentMasterDist"
0x0048D1C0 "Script_CheckPetUntrainerDist"
0x0048D210 "Script_CheckBinderDist"
0x0048D260 "Script_RetrieveCorpse"
